id,ls_room_period_valid
1,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
2,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
3,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
4,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
5,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
6,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
7,['276:14' '276:19' '280:10' '280:15' '280:19' '280:24']
8,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
9,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
10,"['419:1' '419:10' '419:11' '419:12' '419:13' '419:14' '419:15' '419:16'
 '419:17' '419:18' '419:19' '419:2' '419:20' '419:21' '419:22' '419:23'
 '419:24' '419:25' '419:26' '419:27' '419:28' '419:29' '419:3' '419:4'
 '419:5' '419:6' '419:7' '419:8' '419:9' '421:1' '421:10' '421:11'
 '421:12' '421:13' '421:14' '421:15' '421:16' '421:17' '421:18' '421:19'
 '421:2' '421:20' '421:21' '421:22' '421:23' '421:24' '421:25' '421:26'
 '421:27' '421:28' '421:29' '421:3' '421:4' '421:5' '421:6' '421:7'
 '421:8' '421:9' '422:1' '422:10' '422:11' '422:12' '422:13' '422:14'
 '422:15' '422:16' '422:17' '422:18' '422:19' '422:2' '422:20' '422:21'
 '422:22' '422:23' '422:24' '422:25' '422:26' '422:27' '422:28' '422:29'
 '422:3' '422:4' '422:5' '422:6' '422:7' '422:8' '422:9' '424:1' '424:10'
 '424:11' '424:12' '424:13' '424:14' '424:15' '424:16' '424:17' '424:18'
 '424:19' '424:2' '424:20' '424:21' '424:22' '424:23' '424:24' '424:25'
 '424:26' '424:27' '424:28' '424:29' '424:3' '424:4' '424:5' '424:6'
 '424:7' '424:8' '424:9' '425:1' '425:10' '425:11' '425:12' '425:13'
 '425:14' '425:15' '425:16' '425:17' '425:18' '425:19' '425:2' '425:20'
 '425:21' '425:22' '425:23' '425:24' '425:25' '425:26' '425:27' '425:28'
 '425:29' '425:3' '425:4' '425:5' '425:6' '425:7' '425:8' '425:9' '426:1'
 '426:10' '426:11' '426:12' '426:13' '426:14' '426:15' '426:16' '426:17'
 '426:18' '426:19' '426:2' '426:20' '426:21' '426:22' '426:23' '426:24'
 '426:25' '426:26' '426:27' '426:28' '426:29' '426:3' '426:4' '426:5'
 '426:6' '426:7' '426:8' '426:9' '427:1' '427:10' '427:11' '427:12'
 '427:13' '427:14' '427:15' '427:16' '427:17' '427:18' '427:19' '427:2'
 '427:20' '427:21' '427:22' '427:23' '427:24' '427:25' '427:26' '427:27'
 '427:28' '427:29' '427:3' '427:4' '427:5' '427:6' '427:7' '427:8' '427:9'
 '479:1' '479:10' '479:11' '479:12' '479:13' '479:14' '479:15' '479:16'
 '479:17' '479:18' '479:19' '479:2' '479:20' '479:21' '479:22' '479:23'
 '479:24' '479:25' '479:26' '479:27' '479:28' '479:29' '479:3' '479:4'
 '479:5' '479:6' '479:7' '479:8' '479:9' '480:1' '480:10' '480:11'
 '480:12' '480:13' '480:14' '480:15' '480:16' '480:17' '480:18' '480:19'
 '480:2' '480:20' '480:21' '480:22' '480:23' '480:24' '480:25' '480:26'
 '480:27' '480:28' '480:29' '480:3' '480:4' '480:5' '480:6' '480:7'
 '480:8' '480:9' '74:1' '74:10' '74:11' '74:12' '74:13' '74:14' '74:15'
 '74:16' '74:17' '74:18' '74:19' '74:2' '74:20' '74:21' '74:22' '74:23'
 '74:24' '74:25' '74:26' '74:27' '74:28' '74:29' '74:3' '74:4' '74:5'
 '74:6' '74:7' '74:8' '74:9' '75:1' '75:10' '75:11' '75:12' '75:13'
 '75:14' '75:15' '75:16' '75:17' '75:18' '75:19' '75:2' '75:20' '75:21'
 '75:22' '75:23' '75:24' '75:25' '75:26' '75:27' '75:28' '75:29' '75:3'
 '75:4' '75:5' '75:6' '75:7' '75:8' '75:9' '76:1' '76:10' '76:11' '76:12'
 '76:13' '76:14' '76:15' '76:16' '76:17' '76:18' '76:19' '76:2' '76:20'
 '76:21' '76:22' '76:23' '76:24' '76:25' '76:26' '76:27' '76:28' '76:29'
 '76:3' '76:4' '76:5' '76:6' '76:7' '76:8' '76:9' '77:1' '77:10' '77:11'
 '77:12' '77:13' '77:14' '77:15' '77:16' '77:17' '77:18' '77:19' '77:2'
 '77:20' '77:21' '77:22' '77:23' '77:24' '77:25' '77:26' '77:27' '77:28'
 '77:29' '77:3' '77:4' '77:5' '77:6' '77:7' '77:8' '77:9' '78:1' '78:10'
 '78:11' '78:12' '78:13' '78:14' '78:15' '78:16' '78:17' '78:18' '78:19'
 '78:2' '78:20' '78:21' '78:22' '78:23' '78:24' '78:25' '78:26' '78:27'
 '78:28' '78:29' '78:3' '78:4' '78:5' '78:6' '78:7' '78:8' '78:9']"
11,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
12,[]
13,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
14,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
15,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
16,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
17,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
18,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
19,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
20,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
21,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
22,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
23,[]
24,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
25,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
26,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
27,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
28,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
29,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
30,"['419:1' '419:10' '419:11' '419:12' '419:13' '419:14' '419:15' '419:16'
 '419:17' '419:18' '419:19' '419:2' '419:20' '419:21' '419:22' '419:23'
 '419:24' '419:25' '419:26' '419:27' '419:28' '419:29' '419:3' '419:4'
 '419:5' '419:6' '419:7' '419:8' '419:9' '421:1' '421:10' '421:11'
 '421:12' '421:13' '421:14' '421:15' '421:16' '421:17' '421:18' '421:19'
 '421:2' '421:20' '421:21' '421:22' '421:23' '421:24' '421:25' '421:26'
 '421:27' '421:28' '421:29' '421:3' '421:4' '421:5' '421:6' '421:7'
 '421:8' '421:9' '422:1' '422:10' '422:11' '422:12' '422:13' '422:14'
 '422:15' '422:16' '422:17' '422:18' '422:19' '422:2' '422:20' '422:21'
 '422:22' '422:23' '422:24' '422:25' '422:26' '422:27' '422:28' '422:29'
 '422:3' '422:4' '422:5' '422:6' '422:7' '422:8' '422:9' '424:1' '424:10'
 '424:11' '424:12' '424:13' '424:14' '424:15' '424:16' '424:17' '424:18'
 '424:19' '424:2' '424:20' '424:21' '424:22' '424:23' '424:24' '424:25'
 '424:26' '424:27' '424:28' '424:29' '424:3' '424:4' '424:5' '424:6'
 '424:7' '424:8' '424:9' '425:1' '425:10' '425:11' '425:12' '425:13'
 '425:14' '425:15' '425:16' '425:17' '425:18' '425:19' '425:2' '425:20'
 '425:21' '425:22' '425:23' '425:24' '425:25' '425:26' '425:27' '425:28'
 '425:29' '425:3' '425:4' '425:5' '425:6' '425:7' '425:8' '425:9' '426:1'
 '426:10' '426:11' '426:12' '426:13' '426:14' '426:15' '426:16' '426:17'
 '426:18' '426:19' '426:2' '426:20' '426:21' '426:22' '426:23' '426:24'
 '426:25' '426:26' '426:27' '426:28' '426:29' '426:3' '426:4' '426:5'
 '426:6' '426:7' '426:8' '426:9' '427:1' '427:10' '427:11' '427:12'
 '427:13' '427:14' '427:15' '427:16' '427:17' '427:18' '427:19' '427:2'
 '427:20' '427:21' '427:22' '427:23' '427:24' '427:25' '427:26' '427:27'
 '427:28' '427:29' '427:3' '427:4' '427:5' '427:6' '427:7' '427:8' '427:9'
 '479:1' '479:10' '479:11' '479:12' '479:13' '479:14' '479:15' '479:16'
 '479:17' '479:18' '479:19' '479:2' '479:20' '479:21' '479:22' '479:23'
 '479:24' '479:25' '479:26' '479:27' '479:28' '479:29' '479:3' '479:4'
 '479:5' '479:6' '479:7' '479:8' '479:9' '480:1' '480:10' '480:11'
 '480:12' '480:13' '480:14' '480:15' '480:16' '480:17' '480:18' '480:19'
 '480:2' '480:20' '480:21' '480:22' '480:23' '480:24' '480:25' '480:26'
 '480:27' '480:28' '480:29' '480:3' '480:4' '480:5' '480:6' '480:7'
 '480:8' '480:9' '74:1' '74:10' '74:11' '74:12' '74:13' '74:14' '74:15'
 '74:16' '74:17' '74:18' '74:19' '74:2' '74:20' '74:21' '74:22' '74:23'
 '74:24' '74:25' '74:26' '74:27' '74:28' '74:29' '74:3' '74:4' '74:5'
 '74:6' '74:7' '74:8' '74:9' '75:1' '75:10' '75:11' '75:12' '75:13'
 '75:14' '75:15' '75:16' '75:17' '75:18' '75:19' '75:2' '75:20' '75:21'
 '75:22' '75:23' '75:24' '75:25' '75:26' '75:27' '75:28' '75:29' '75:3'
 '75:4' '75:5' '75:6' '75:7' '75:8' '75:9' '76:1' '76:10' '76:11' '76:12'
 '76:13' '76:14' '76:15' '76:16' '76:17' '76:18' '76:19' '76:2' '76:20'
 '76:21' '76:22' '76:23' '76:24' '76:25' '76:26' '76:27' '76:28' '76:29'
 '76:3' '76:4' '76:5' '76:6' '76:7' '76:8' '76:9' '77:1' '77:10' '77:11'
 '77:12' '77:13' '77:14' '77:15' '77:16' '77:17' '77:18' '77:19' '77:2'
 '77:20' '77:21' '77:22' '77:23' '77:24' '77:25' '77:26' '77:27' '77:28'
 '77:29' '77:3' '77:4' '77:5' '77:6' '77:7' '77:8' '77:9' '78:1' '78:10'
 '78:11' '78:12' '78:13' '78:14' '78:15' '78:16' '78:17' '78:18' '78:19'
 '78:2' '78:20' '78:21' '78:22' '78:23' '78:24' '78:25' '78:26' '78:27'
 '78:28' '78:29' '78:3' '78:4' '78:5' '78:6' '78:7' '78:8' '78:9']"
31,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
32,[]
33,['276:14' '276:19' '280:10' '280:15' '280:19' '280:24']
34,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
35,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
36,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
37,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
38,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
39,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
40,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
41,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
42,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
43,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
44,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
45,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
46,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
47,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
48,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
49,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
50,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
51,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
52,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
53,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
54,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
55,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
56,['114:10' '114:15' '114:25' ... '93:15' '93:19' '93:2']
