student_id,exam_id
1,852
1,1749
4,1262
4,649
5,1508
5,1555
5,1501
5,1305
6,860
6,1264
6,1596
7,1258
7,1544
7,274
7,1025
9,771
9,1092
11,1310
11,17
12,269
12,480
14,1158
14,749
14,606
14,940
15,857
15,1393
15,25
15,1609
17,115
17,324
17,1561
17,990
17,1734
18,555
18,808
18,1650
18,1782
19,674
19,1465
20,1165
20,1325
20,1726
20,159
21,1117
21,1071
21,266
21,1588
22,1258
22,274
22,1544
22,564
22,1025
23,1165
23,1726
23,868
23,1640
25,673
25,137
25,411
25,1285
26,1042
26,727
26,1189
26,1593
27,1165
27,1044
27,1367
27,587
28,609
28,681
28,1741
28,603
28,1672
30,698
30,1349
30,995
31,1258
31,1144
31,1063
31,274
31,1544
32,1521
32,526
33,763
33,1665
33,474
36,1175
36,1176
37,848
37,422
37,301
37,619
38,575
38,1004
38,1416
38,438
39,107
39,982
40,717
40,1324
40,799
40,771
42,1190
42,1459
42,544
42,991
42,791
42,420
43,1058
43,1359
43,1061
43,399
44,1545
44,87
44,1
44,503
45,1071
45,154
46,824
46,1731
46,771
46,1681
47,567
47,724
47,1791
47,798
47,360
48,605
48,329
48,724
48,425
48,303
48,85
49,945
49,1622
49,435
50,1225
50,47
51,1339
51,1004
51,1416
51,391
52,1333
52,928
52,649
52,1096
52,995
53,771
53,461
53,1645
53,965
53,1270
54,1708
54,1519
54,1396
54,776
55,607
55,1225
55,834
55,131
56,1642
56,267
56,663
56,1593
57,372
57,613
57,1311
57,1386
58,934
58,393
59,1630
59,1263
59,1077
59,375
60,952
60,321
60,7
60,394
60,416
61,1623
61,1116
61,1593
62,921
62,1456
63,668
63,366
63,273
63,1630
63,1776
63,991
64,1630
64,27
64,1077
65,1708
65,776
65,1396
65,1519
65,805
66,781
66,603
66,681
66,1437
66,1112
67,1630
67,1263
67,1077
67,375
68,294
68,1847
68,1263
68,302
68,1077
68,375
69,610
69,1630
69,1263
69,1077
69,375
70,1447
70,702
70,36
71,571
71,771
71,1609
72,577
72,395
72,991
72,791
73,602
73,355
73,1403
73,122
73,1335
74,121
74,1063
74,1623
74,155
75,1313
75,1388
75,1681
76,1253
76,1630
76,1071
76,952
77,1277
77,1483
77,289
77,58
78,309
78,772
78,338
78,1782
78,75
78,1113
80,1253
80,452
80,952
80,1847
81,789
81,592
82,1405
82,1530
82,894
83,1354
83,1107
83,260
83,1068
84,1701
84,1684
84,45
84,1450
86,1642
86,1406
86,771
86,517
87,1277
87,1630
87,949
87,1694
87,661
88,1559
88,359
88,53
88,1696
89,1461
89,1066
89,34
90,1242
90,724
90,80
90,1790
92,423
92,1122
92,424
93,719
93,1098
93,1206
93,1765
93,155
94,1633
94,866
94,837
94,1286
95,1109
95,1483
95,923
95,1085
95,215
96,1342
96,50
96,361
97,461
97,1371
97,830
97,1263
97,1077
98,290
98,841
98,371
98,1547
98,1541
98,768
98,738
100,1285
100,137
100,862
100,791
101,679
101,683
101,1243
101,1129
101,1093
102,285
102,308
102,147
103,803
103,1666
103,1793
103,22
104,1008
104,610
104,1400
104,1561
105,414
105,1039
105,338
105,81
106,1096
106,712
106,1333
107,328
107,279
107,276
107,610
107,927
108,235
108,1741
108,1757
109,688
109,828
109,3
109,298
109,682
109,29
110,344
110,191
110,1205
111,546
111,1339
111,938
111,562
112,811
112,1811
112,1838
112,1288
112,101
113,1190
113,1459
113,122
117,253
117,631
117,1415
117,1440
118,1555
118,110
118,755
118,749
118,652
119,657
119,52
119,851
119,1405
119,503
120,1816
120,192
120,48
120,1455
121,1533
121,567
121,758
121,1120
121,1681
122,1506
122,1220
122,490
123,817
123,1627
123,791
123,109
124,1542
124,749
124,1763
124,1627
125,1708
125,382
126,195
126,427
126,431
128,1686
128,610
128,279
128,344
128,361
128,1609
129,1349
129,469
129,564
130,1021
130,293
130,1561
130,990
131,1800
131,121
132,950
132,1388
132,995
133,1379
133,1683
133,422
133,301
133,280
134,1251
134,1541
134,1547
134,768
134,371
135,1538
135,544
135,149
135,577
135,1746
137,1684
137,1247
137,1292
137,155
138,245
138,1288
138,1327
138,1449
139,189
139,825
139,651
139,1262
140,1800
140,1583
140,488
140,503
140,444
141,860
141,399
142,1720
142,38
143,845
143,1365
145,469
145,249
145,408
145,743
146,1793
146,389
146,803
147,1488
147,995
147,1614
147,1593
148,894
148,362
148,1198
148,1018
149,1847
149,765
149,182
149,93
150,596
150,1253
150,1847
150,452
150,952
151,1249
151,1319
151,93
152,1847
152,1081
152,935
152,931
153,925
153,511
153,1107
153,1293
154,1367
154,1297
154,1310
154,1295
155,1190
155,1698
155,1327
155,1619
155,395
156,1008
156,1263
156,1077
156,375
157,680
157,431
157,894
157,1405
157,172
158,1008
158,673
158,1187
158,1561
158,505
159,1855
159,1007
160,189
160,894
160,418
160,1681
161,1091
161,1071
161,1715
161,1531
162,1268
162,139
162,940
162,755
163,1771
163,996
163,1440
163,1449
164,1022
164,528
164,417
164,555
165,388
165,1810
165,1732
165,569
165,1000
166,115
166,16
166,582
166,1561
166,990
167,1388
167,63
167,1100
168,853
168,1301
168,185
168,1388
169,1402
